match_guid,time,delta,actor_id,loc_x,loc_y,loc_z,rot_x,rot_y,rot_z,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z
0C52006011F129FCBC11E1A4AF19E2AD,7.890419,0.0336138,19,-231.09,3718.77,17.01,0.0029374666,0.0037358967,-0.62687504,148.56,-694.44,0.01,0.03,-0.11,7.42
0C52006011F129FCBC11E1A4AF19E2AD,7.957646,0.033614,19,-218.33,3661.23,17.01,0.0029590458,0.0037305017,-0.6236166,191.39,-822.6,0.01,0.04,-0.23,27.76
0C52006011F129FCBC11E1A4AF19E2AD,7.991259,0.0336139,6,226.47,-3614.73,17.01,-0.0035902371,0.00312089,0.75110424,-118.98,921.17,0.01,-0.02,0.06,0.13
0C52006011F129FCBC11E1A4AF19E2AD,8.024874,0.0336136,19,-200.57,3595.15,17.01,0.0029104927,0.0037736602,-0.59906477,271.0,-927.02,0.02,-0.01,0.08,100.63
0C52006011F129FCBC11E1A4AF19E2AD,8.092107,0.0336136,6,215.76,-3531.93,17.01,-0.0035902371,0.0031316795,0.75111365,-136.0,1051.24,0.01,-0.03,0.04,0.01
0C52006011F129FCBC11E1A4AF19E2AD,8.125722,0.0336136,19,-172.44,3503.74,17.01,0.002743254,0.0039031352,-0.582794,339.99,-1052.25,0.02,0.0,0.06,17.11
0C52006011F129FCBC11E1A4AF19E2AD,8.159337,0.0336138,6,204.97,-3448.53,17.01,-0.0035902371,0.0031316795,0.75111365,-150.0,1159.12,0.01,-0.03,0.04,0.0
0C52006011F129FCBC11E1A4AF19E2AD,8.192957,0.033618797,19,-144.93,3420.67,32.29,0.0027108851,0.00390853,-0.5823247,378.17,-1153.55,315.35,-0.21,0.27,-27.71
0C52006011F129FCBC11E1A4AF19E2AD,8.226572,0.0336138,6,192.79,-3357.48,17.01,-0.0035794475,0.0031532585,0.75463647,-187.47,1253.2,0.03,-0.09,0.47,65.95
0C52006011F129FCBC11E1A4AF19E2AD,8.260187,0.0336139,19,-115.54,3331.03,57.22,0.03989199,-0.010371539,-0.5898774,402.79,-1229.05,323.44,113.86,-171.35,-26.08
0C52006011F129FCBC11E1A4AF19E2AD,8.293802,0.033613898,6,174.39,-3260.42,34.95,-0.0035254995,0.0031910222,0.7887348,-285.12,1324.89,319.38,-0.09,1.11,174.2
0C52006011F129FCBC11E1A4AF19E2AD,8.327417,0.0336136,19,-104.53,3216.18,79.26,0.2221289,-0.05076255,-0.5792658,-57.82,-1772.89,268.93,388.26,-389.3,13.63
0C52006011F129FCBC11E1A4AF19E2AD,8.394648,0.0336137,6,152.38,-3158.77,59.28,0.013344114,0.058045566,0.8294989,-298.41,1369.57,306.28,-163.39,206.63,188.1
0C52006011F129FCBC11E1A4AF19E2AD,8.428263,0.033614002,19,-108.24,3033.77,101.16,0.5274378,-0.16034208,-0.51414496,-17.66,-1865.94,174.26,248.16,-466.57,-152.38
0C52006011F129FCBC11E1A4AF19E2AD,8.461878,0.0336136,6,159.28,-2980.53,83.76,0.022250922,0.3777316,0.78636,54.05,1981.67,229.95,-450.22,315.56,-14.61
0C52006011F129FCBC11E1A4AF19E2AD,8.529108,0.0336137,6,161.53,-2829.41,96.48,0.100238435,0.5950456,0.6562089,10.46,2040.69,56.58,-338.93,389.37,-189.76
0C52006011F129FCBC11E1A4AF19E2AD,8.529108,0.0336137,19,-108.16,2891.05,103.79,0.6909088,-0.28120214,-0.44459495,16.48,-1932.46,-17.88,247.11,-470.2,-142.63
0C52006011F129FCBC11E1A4AF19E2AD,8.596338,0.0336138,19,-105.39,2743.37,102.09,0.81471956,-0.3714305,-0.32512674,53.91,-1997.4,-23.38,231.33,-492.12,-82.4
0C52006011F129FCBC11E1A4AF19E2AD,8.629953,0.0336139,6,160.42,-2674.02,95.8,0.20818865,0.75359094,0.4727451,-35.25,2096.66,-24.2,-326.77,386.72,-214.85
0C52006011F129FCBC11E1A4AF19E2AD,8.663573,0.0336186,19,-99.57,2590.94,100.41,0.88587075,-0.4237494,-0.15906347,97.5,-2060.26,-21.39,203.4,-507.96,-55.67
0C52006011F129FCBC11E1A4AF19E2AD,8.697194,0.033619698,6,155.1,-2496.49,93.65,0.31283733,0.8634483,0.22876449,-87.12,2157.77,-25.91,-327.08,386.45,-214.86
0C52006011F129FCBC11E1A4AF19E2AD,8.764424,0.0336138,19,-86.36,2380.42,98.53,0.87775457,-0.4394807,0.09577146,161.5,-2143.54,-16.22,181.76,-516.38,-53.04
0C52006011F129FCBC11E1A4AF19E2AD,8.798039,0.0336136,6,146.59,-2332.42,91.68,0.38428628,0.8964986,-0.007792826,-134.72,2212.16,-25.79,-288.43,419.86,-207.41
0C52006011F129FCBC11E1A4AF19E2AD,8.831655,0.0336139,19,-72.34,2216.97,97.48,0.79221416,-0.4122477,0.2845955,205.82,-2208.82,-12.35,177.65,-517.52,-55.69
0C52006011F129FCBC11E1A4AF19E2AD,8.86527,0.033613797,6,131.66,-2126.71,89.63,0.43495446,0.873309,-0.21437113,-174.58,2257.08,-17.08,-60.21,518.43,-173.5
0C52006011F129FCBC11E1A4AF19E2AD,8.86527,0.033613797,19,-68.8,2179.97,97.28,0.7645193,-0.40180865,0.32420427,214.46,-2223.89,-11.67,177.53,-517.55,-55.88
0C52006011F129FCBC11E1A4AF19E2AD,8.932553,0.033667203,19,-47.39,1972.45,96.22,0.56422085,-0.31648427,0.5141881,240.74,-2280.52,-14.2,178.58,-518.66,-39.9
0C52006011F129FCBC11E1A4AF19E2AD,8.966185,0.0336302,6,115.48,-1919.56,88.18,0.42660323,0.75556874,-0.38642266,-177.86,2262.13,-15.32,-139.51,521.45,-105.46
0C52006011F129FCBC11E1A4AF19E2AD,9.033415,0.033613797,6,102.06,-1749.71,87.01,0.36883557,0.5986666,-0.5216491,-179.64,2266.66,-15.17,-146.43,522.27,-91.0
0C52006011F129FCBC11E1A4AF19E2AD,9.033415,0.033613797,19,-25.25,1763.12,92.46,-0.3712902,0.21209458,-0.61267054,241.99,-2286.23,-67.52,160.57,-521.31,5.47
0C52006011F129FCBC11E1A4AF19E2AD,9.100645,0.0336137,6,90.06,-1598.44,84.41,-0.3051174,-0.46974558,0.5981168,-180.55,2270.88,-57.65,-139.2,530.91,-35.31
0C52006011F129FCBC11E1A4AF19E2AD,9.100645,0.0336137,19,-9.09,1610.71,86.36,-0.2422138,0.13656709,-0.6511625,241.95,-2284.59,-109.91,125.56,-397.83,-2.77
0C52006011F129FCBC11E1A4AF19E2AD,9.167875,0.0336138,19,9.06,1439.41,76.13,-0.13190058,0.07622603,-0.671269,241.6,-2281.83,-157.69,96.24,-275.17,-6.82
0C52006011F129FCBC11E1A4AF19E2AD,9.201491,0.033615,6,73.45,-1389.98,76.2,-0.19395718,-0.28755185,0.6741406,-181.2,2276.84,-116.29,-107.83,434.14,-13.38
0C52006011F129FCBC11E1A4AF19E2AD,9.235106,0.033613797,19,25.14,1287.34,64.02,-0.05957225,0.03951975,-0.68069917,241.12,-2278.54,-200.17,72.87,-199.17,-27.78
0C52006011F129FCBC11E1A4AF19E2AD,9.268741,0.0336331,6,59.86,-1219.01,65.47,-0.12680785,-0.17330581,0.6999455,-181.45,2281.79,-164.56,-83.85,300.79,-15.06
0C52006011F129FCBC11E1A4AF19E2AD,9.302356,0.0336137,19,41.21,1135.52,49.08,-0.008386253,0.011310276,-0.6941754,240.44,-2274.49,-242.6,34.68,-145.09,-65.67
0C52006011F129FCBC11E1A4AF19E2AD,9.369586,0.0336137,6,40.23,-971.62,43.56,-0.0664075,-0.060262784,0.7111276,-180.96,2280.89,-233.98,-59.91,176.81,-12.07
0C52006011F129FCBC11E1A4AF19E2AD,9.403201,0.0336137,19,62.49,927.25,24.5,-0.029334333,0.013894383,0.71602404,190.99,-2269.42,-260.3,-1.11,1.43,-72.91
0C52006011F129FCBC11E1A4AF19E2AD,9.436828,0.0336255,6,28.38,-819.66,26.52,-0.03970857,-0.0129394615,0.7117834,-166.83,2277.93,-263.02,-2.51,168.47,-16.84
0C52006011F129FCBC11E1A4AF19E2AD,9.504058,0.0336139,19,66.22,682.2,16.0,-0.0034014191,-0.0024465402,0.73479456,-85.34,-2254.33,13.43,1.77,6.3,-28.07
0C52006011F129FCBC11E1A4AF19E2AD,9.537673,0.0336137,6,17.65,-610.79,15.74,-0.0020473253,0.0043994565,0.7069719,-78.46,2278.64,5.99,5.46,3.06,-15.57
0C52006011F129FCBC11E1A4AF19E2AD,9.571288,0.033613797,6,15.59,-534.83,18.6,-0.0022469328,0.0041189273,0.7053157,-51.41,2278.73,307.77,-0.11,-2.61,-13.1
0C52006011F129FCBC11E1A4AF19E2AD,9.571288,0.033613797,19,61.03,588.35,21.48,-0.0032072065,-0.0030669419,0.73772836,-146.55,-2251.94,311.51,1.48,2.05,-16.75
0C52006011F129FCBC11E1A4AF19E2AD,9.638518,0.0336143,6,13.21,-364.06,43.3,-0.0029104927,0.0034985256,0.70215434,-26.76,2272.93,350.81,-0.07,-2.27,-11.26
0C52006011F129FCBC11E1A4AF19E2AD,9.638518,0.0336143,19,45.56,381.96,52.42,-0.0030399677,-0.004113532,0.7417429,-172.24,-2253.95,347.7,1.24,1.55,-11.78
0C52006011F129FCBC11E1A4AF19E2AD,9.672133,0.0336138,6,12.99,-345.11,46.18,-0.0029752303,0.0034391829,0.70182526,-26.75,2273.48,345.38,-0.06,-2.18,-11.08
0C52006011F129FCBC11E1A4AF19E2AD,9.672133,0.0336138,19,44.12,363.17,55.27,-0.0030399677,-0.004199849,0.7420691,-172.29,-2254.5,342.27,1.47,1.46,-11.66
0C52006011F129FCBC11E1A4AF19E2AD,9.705749,0.0336137,19,32.6,212.7,76.47,-0.006201361,-0.007647166,0.7458643,-172.72,-2258.9,298.83,33.81,-2.18,-28.97
0C52006011F129FCBC11E1A4AF19E2AD,9.739364,0.0336137,6,4.69,-175.53,69.72,-0.014978695,0.0027756228,0.7038969,-785.3,2145.79,257.0,-98.97,-201.27,39.05
0C52006011F129FCBC11E1A4AF19E2AD,9.739364,0.0336137,11,-1.8,20.08,92.54,-0.0055701695,-0.0009899451,-0.026259257,-201.29,3009.48,115.98,-124.52,-22.12,-586.51
0C52006011F129FCBC11E1A4AF19E2AD,9.739364,0.0336137,19,23.35,157.07,83.33,-0.018809043,-0.010322985,0.7492008,-764.2,-2155.86,240.93,157.19,-175.15,-51.93
0C52006011F129FCBC11E1A4AF19E2AD,9.772979,0.033613797,11,-37.1,12.68,94.36,-0.039951336,-0.011218522,-0.03366096,-1439.99,1250.55,393.63,413.45,-149.03,-207.08
0C52006011F129FCBC11E1A4AF19E2AD,9.806605,0.0336257,6,-58.31,-145.33,83.17,-0.028260767,-0.24704215,0.72003806,-888.32,101.28,140.65,28.49,-549.07,14.24
0C52006011F129FCBC11E1A4AF19E2AD,9.806605,0.0336257,11,-108.63,21.7,100.71,-0.034362283,-0.017244551,-0.0761991,-1994.4,-266.38,36.93,-90.45,29.91,-570.49
0C52006011F129FCBC11E1A4AF19E2AD,9.806605,0.0336257,19,-15.05,163.72,103.97,-0.0600416,0.16857457,0.8442937,-567.5,-37.01,252.56,53.74,-535.67,-112.55
0C52006011F129FCBC11E1A4AF19E2AD,9.840232,0.033626,11,-175.07,12.82,101.49,-0.051221106,-0.010091009,-0.17000955,-1992.36,-266.1,15.21,-90.45,29.91,-570.49
0C52006011F129FCBC11E1A4AF19E2AD,9.873847,0.0336138,6,-124.91,-137.77,91.41,-0.24979353,-0.40253156,0.64096725,-888.32,101.28,57.82,3.41,-528.88,-150.89
0C52006011F129FCBC11E1A4AF19E2AD,9.873847,0.0336138,11,-258.02,1.73,101.45,-0.07159729,-0.001022314,-0.28494075,-1989.81,-265.75,-11.86,-90.45,29.91,-570.49
0C52006011F129FCBC11E1A4AF19E2AD,9.907462,0.0336137,11,-291.17,-2.69,101.12,-0.07947374,0.002613779,-0.3298526,-1988.79,-265.61,-22.68,-90.45,29.91,-570.49
0C52006011F129FCBC11E1A4AF19E2AD,9.907462,0.0336137,19,-67.17,160.14,121.3,-0.36004737,0.2772478,0.7653243,-569.05,-39.95,46.16,65.1,-532.36,121.85
0C52006011F129FCBC11E1A4AF19E2AD,9.941077,0.033613797,11,-357.42,-11.53,99.92,-0.09465478,0.009864385,-0.41726485,-1986.75,-265.33,-44.3,-90.45,29.91,-570.49
0C52006011F129FCBC11E1A4AF19E2AD,9.941077,0.033613797,19,-76.65,159.48,121.59,-0.41172978,0.29333505,0.7382015,-569.05,-39.95,10.56,62.57,-531.84,125.41
0C52006011F129FCBC11E1A4AF19E2AD,9.974692,0.0336137,6,-206.31,-128.53,91.12,0.4594469,0.5805842,-0.4670428,-888.32,101.28,-14.82,56.73,-541.06,-80.78
0C52006011F129FCBC11E1A4AF19E2AD,9.974692,0.0336137,11,-473.2,-27.0,96.09,-0.119033955,0.022294082,-0.5604487,-1983.18,-264.84,-82.08,-90.45,29.91,-570.49
0C52006011F129FCBC11E1A4AF19E2AD,9.974692,0.0336137,19,-109.83,157.17,121.07,-0.5780358,0.34244946,0.61998695,-569.05,-39.95,-14.19,43.23,-531.78,133.53
0C52006011F129FCBC11E1A4AF19E2AD,10.008307,0.0336138,11,-522.75,-33.63,93.77,-0.12848029,0.027446112,-0.6171644,-1981.65,-264.63,-98.25,-90.45,29.91,-570.49
0C52006011F129FCBC11E1A4AF19E2AD,10.041923,0.033614,11,-587.29,-42.19,94.33,-0.12452585,0.020945381,-0.6902156,-1920.61,-254.14,51.28,-62.49,-131.85,-570.49
0C52006011F129FCBC11E1A4AF19E2AD,10.075538,0.0336138,6,-295.11,-118.45,89.56,0.6094013,0.7073475,-0.20435835,-888.32,101.28,-15.45,117.35,-521.49,-129.5
0C52006011F129FCBC11E1A4AF19E2AD,10.075538,0.0336138,11,-667.25,-52.78,95.79,0.111448824,-0.007069923,0.77318186,-1918.16,-253.79,24.13,-62.49,-131.85,-570.49
0C52006011F129FCBC11E1A4AF19E2AD,10.075538,0.0336138,19,-157.23,153.87,119.79,0.7655828,-0.38924414,-0.40004995,-569.05,-39.95,-15.45,36.93,-532.27,133.47
0C52006011F129FCBC11E1A4AF19E2AD,10.109153,0.0336139,11,-731.15,-61.22,96.15,0.09977449,0.004124322,0.83124083,-1916.2,-253.51,2.43,-62.49,-131.85,-570.49
0C52006011F129FCBC11E1A4AF19E2AD,10.142784,0.0336307,6,-354.31,-111.73,88.52,0.6671851,0.72285503,0.016424542,-888.32,101.28,-15.45,177.4,-494.19,-163.7
0C52006011F129FCBC11E1A4AF19E2AD,10.176399,0.0336138,11,-842.81,-75.99,95.02,0.07709999,0.023540279,0.91330236,-1912.77,-253.02,-35.44,-62.49,-131.85,-570.49
0C52006011F129FCBC11E1A4AF19E2AD,10.176399,0.0336138,19,-218.85,149.58,118.1,0.90066856,-0.39652175,-0.061573762,-569.05,-39.95,-15.45,36.69,-532.33,133.31
0C52006011F129FCBC11E1A4AF19E2AD,10.210014,0.0336138,6,-413.51,-105.01,87.48,0.6816486,0.6874609,0.24235407,-888.32,101.28,-15.45,183.68,-490.47,-167.91
0C52006011F129FCBC11E1A4AF19E2AD,10.210014,0.0336138,11,-890.61,-82.32,93.86,0.06664487,0.031681027,0.9403582,-1911.3,-252.81,-51.64,-62.49,-131.85,-570.49
0C52006011F129FCBC11E1A4AF19E2AD,10.243654,0.0336391,11,-953.67,-90.64,93.44,0.04404059,0.043177422,0.9687524,-1873.04,-246.25,32.02,-44.0,-224.86,-554.52
0C52006011F129FCBC11E1A4AF19E2AD,10.243654,0.0336391,19,-261.51,146.6,116.93,0.912608,-0.3636781,0.18158144,-568.64,-40.3,-15.37,36.03,-530.63,140.1
0C52006011F129FCBC11E1A4AF19E2AD,10.277269,0.0336137,6,-480.11,-97.45,86.31,0.6484923,0.58930016,0.47689378,-888.32,101.28,-15.45,189.41,-484.65,-178.14
0C52006011F129FCBC11E1A4AF19E2AD,10.277269,0.0336137,11,-1016.06,-98.84,94.06,0.013322534,0.05497584,0.9874105,-1871.12,-245.97,10.31,-44.0,-224.86,-554.52
0C52006011F129FCBC11E1A4AF19E2AD,10.310884,0.033613898,11,-1093.96,-109.09,93.82,-0.02522885,0.06894305,0.99684703,-1868.72,-245.62,-16.75,-44.0,-224.86,-554.52
0C52006011F129FCBC11E1A4AF19E2AD,10.3445,0.0336138,11,-1125.09,-113.19,93.41,-0.040571734,0.074240744,0.9962666,-1867.76,-245.48,-27.57,-44.0,-224.86,-554.52
0C52006011F129FCBC11E1A4AF19E2AD,10.3445,0.0336138,19,-313.57,142.82,115.5,0.83624744,-0.28107804,0.45809284,-567.08,-41.88,-15.0,31.14,-528.85,147.78
0C52006011F129FCBC11E1A4AF19E2AD,10.378118,0.0336167,6,-561.51,-88.21,84.88,0.5398674,0.40232116,0.70726085,-888.32,101.28,-15.45,204.75,-482.49,-166.65
0C52006011F129FCBC11E1A4AF19E2AD,10.378118,0.0336167,11,-1232.93,-127.32,93.44,-0.10500744,0.08794901,0.9743612,-1844.39,-241.55,-7.31,-33.32,-269.9,-534.82
0C52006011F129FCBC11E1A4AF19E2AD,10.411736,0.0336168,11,-1263.66,-131.34,93.18,-0.12336058,0.09120747,0.96258724,-1843.45,-241.41,-18.13,-33.32,-269.9,-534.82
0C52006011F129FCBC11E1A4AF19E2AD,10.445366,0.0336292,11,-1309.48,-137.33,93.17,-0.15306985,0.09425013,0.9402169,-1827.18,-238.69,8.7,-25.57,-301.06,-518.36
0C52006011F129FCBC11E1A4AF19E2AD,10.445366,0.0336292,19,-360.77,139.26,113.85,0.7083664,-0.18879431,0.6441169,-566.28,-43.44,-35.53,-4.31,-467.49,119.83
0C52006011F129FCBC11E1A4AF19E2AD,10.478981,0.033613797,6,-642.91,-78.97,81.0,0.43965334,0.2536346,0.8175663,-888.32,101.28,-69.55,208.26,-315.57,-66.39
0C52006011F129FCBC11E1A4AF19E2AD,10.478981,0.033613797,11,-1415.7,-151.2,93.15,-0.22329417,0.0957283,0.8681161,-1813.82,-236.56,0.0,-20.39,-321.23,-506.34
0C52006011F129FCBC11E1A4AF19E2AD,10.512596,0.033613604,11,-1475.98,-159.06,93.15,-0.26336148,0.0926209,0.81490767,-1804.5,-235.04,0.0,-16.61,-335.61,-497.07
0C52006011F129FCBC11E1A4AF19E2AD,10.512596,0.033613604,19,-403.25,135.94,109.26,0.6119746,-0.12035028,0.73919326,-566.25,-45.05,-81.68,-67.98,-361.04,58.35
0C52006011F129FCBC11E1A4AF19E2AD,10.546214,0.0336174,6,-724.31,-69.73,71.64,0.37061048,0.13717669,0.8814773,-888.32,101.28,-129.06,219.42,-202.49,37.15
0C52006011F129FCBC11E1A4AF19E2AD,10.546214,0.0336174,11,-1535.94,-166.87,93.15,-0.30251706,0.08646544,0.7537096,-1795.18,-233.53,0.0,-12.91,-349.44,-487.56
0C52006011F129FCBC11E1A4AF19E2AD,10.579832,0.0336168,11,-1580.7,-172.69,93.15,-0.3308992,0.07979747,0.7029674,-1788.19,-232.42,0.0,-10.19,-359.45,-480.29
0C52006011F129FCBC11E1A4AF19E2AD,10.613447,0.0336137,6,-783.51,-63.01,61.4,0.33395267,0.065862626,0.9150267,-888.32,101.28,-172.34,215.39,-153.87,95.03
0C52006011F129FCBC11E1A4AF19E2AD,10.613447,0.0336137,11,-1654.9,-182.32,93.15,-0.37551972,0.06476748,0.610108,-1776.54,-230.57,0.0,-5.75,-375.45,-467.97
0C52006011F129FCBC11E1A4AF19E2AD,10.613447,0.0336137,19,-464.65,130.93,96.54,0.49783108,-0.028428007,0.832887,-567.38,-47.3,-148.09,-136.07,-263.62,-25.58
0C52006011F129FCBC11E1A4AF19E2AD,10.680677,0.0336137,11,-1772.66,-197.59,93.15,-0.437285,0.030812465,0.4435322,-1757.96,-227.61,0.0,1.05,-399.29,-447.84
0C52006011F129FCBC11E1A4AF19E2AD,10.680677,0.0336137,19,-507.26,127.32,83.52,0.4337838,0.030499566,0.8787338,-569.02,-48.64,-193.9,-158.32,-220.24,-72.79
0C52006011F129FCBC11E1A4AF19E2AD,10.714293,0.0336137,6,-850.11,-55.45,46.44,0.2987731,0.0011679735,0.941144,-888.32,101.28,-221.03,170.4,-141.33,112.28
0C52006011F129FCBC11E1A4AF19E2AD,10.714293,0.0336137,11,-1816.49,-203.26,93.15,-0.45660925,0.015135186,0.3765717,-1751.0,-226.5,0.0,3.49,-407.68,-440.2
0C52006011F129FCBC11E1A4AF19E2AD,10.747908,0.0336137,11,-1874.65,-210.78,93.15,-0.47855,-0.008040986,0.2844984,-1741.72,-225.06,0.0,6.66,-418.42,-429.97
0C52006011F129FCBC11E1A4AF19E2AD,10.747908,0.0336137,19,-550.05,123.62,67.09,0.35957262,0.080072604,0.91943777,-571.94,-49.83,-239.09,-124.73,-290.31,-109.6
0C52006011F129FCBC11E1A4AF19E2AD,10.781523,0.033613898,6,-932.7,-44.76,28.64,0.19959474,-0.028681561,0.9762981,-933.08,129.98,-127.41,-77.13,-403.32,197.44
0C52006011F129FCBC11E1A4AF19E2AD,10.781523,0.033613898,11,-1946.94,-220.11,93.15,-0.4991959,-0.040264234,0.166271,-1730.12,-223.26,0.0,10.49,-431.12,-417.16
0C52006011F129FCBC11E1A4AF19E2AD,10.815138,0.0336137,11,-1975.72,-223.82,93.15,-0.5051842,-0.05403719,0.11840272,-1725.49,-222.54,0.0,11.98,-435.98,-412.03
0C52006011F129FCBC11E1A4AF19E2AD,10.8487625,0.0336234,6,-1006.16,-36.17,19.48,0.026329389,0.0077442303,0.9993972,-1023.01,95.21,-108.56,-64.24,-368.94,104.64
0C52006011F129FCBC11E1A4AF19E2AD,10.8487625,0.0336234,11,-2075.82,-236.72,93.15,-0.5152185,-0.10535271,-0.049467754,-1709.32,-220.02,0.0,16.99,-452.07,-394.13
0C52006011F129FCBC11E1A4AF19E2AD,10.8487625,0.0336234,19,-593.1,119.84,47.26,0.24861743,0.11595348,0.95887166,-575.81,-50.51,-284.75,-84.7,-377.02,-113.56
0C52006011F129FCBC11E1A4AF19E2AD,10.915993,0.0336136,11,-2175.01,-249.47,93.15,-0.5073637,-0.15982953,-0.21386942,-1693.15,-217.56,0.0,21.69,-466.74,-376.4
0C52006011F129FCBC11E1A4AF19E2AD,10.915993,0.0336136,19,-636.51,115.68,26.14,0.08022905,0.08792204,0.99288154,-581.72,-58.15,-267.24,205.4,-491.82,-135.7
0C52006011F129FCBC11E1A4AF19E2AD,10.951916,0.0359218,6,-1106.88,-31.34,16.46,-0.008084144,0.0026191736,0.9999639,-1159.47,22.02,2.78,18.76,16.28,20.08
0C52006011F129FCBC11E1A4AF19E2AD,10.951916,0.0359218,11,-2231.25,-256.69,93.15,-0.49458876,-0.19144316,-0.30430278,-1683.91,-216.16,0.0,24.24,-474.51,-366.39
0C52006011F129FCBC11E1A4AF19E2AD,10.985531,0.033613797,11,-2301.13,-265.66,93.15,-0.47012323,-0.230561,-0.41205347,-1672.41,-214.41,0.0,27.29,-483.65,-354.02
0C52006011F129FCBC11E1A4AF19E2AD,10.985531,0.033613797,19,-687.96,112.46,15.55,-0.0070645283,0.0010169192,0.9991714,-649.85,0.83,-1.03,61.66,17.18,-87.58
0C52006011F129FCBC11E1A4AF19E2AD,11.019146,0.0336137,11,-2356.69,-272.78,93.15,-0.44388285,-0.26095542,-0.49299183,-1663.21,-213.01,0.0,29.62,-490.51,-344.26
0C52006011F129FCBC11E1A4AF19E2AD,11.052761,0.0336137,6,-1219.41,-30.91,16.85,-0.005343546,-2.967138e-05,0.9999771,-1282.23,-4.53,3.1,0.64,2.04,3.88
0C52006011F129FCBC11E1A4AF19E2AD,11.052761,0.0336137,11,-2398.15,-278.09,93.15,-0.4204208,-0.28289613,-0.5501068,-1656.31,-211.99,0.0,31.31,-495.4,-337.03
0C52006011F129FCBC11E1A4AF19E2AD,11.086376,0.0336136,11,-2425.69,-281.61,93.15,-0.40303868,-0.29701436,-0.5863006,-1651.71,-211.31,0.0,32.41,-498.54,-332.26
0C52006011F129FCBC11E1A4AF19E2AD,11.086376,0.0336136,19,-739.07,116.42,16.48,-0.0052464395,-0.0007957325,0.99741095,-706.22,87.95,10.23,-2.3,1.98,-82.15
0C52006011F129FCBC11E1A4AF19E2AD,11.119991,0.0336137,6,-1319.45,-31.59,16.98,-0.0049389363,-6.204016e-05,0.99997574,-1374.38,-11.41,0.82,-0.07,0.53,1.06
0C52006011F129FCBC11E1A4AF19E2AD,11.119991,0.0336137,11,-2521.52,-293.86,93.15,0.33185408,0.34225523,0.69978756,-1635.62,-208.93,0.0,36.07,-508.86,-315.84
0C52006011F129FCBC11E1A4AF19E2AD,11.153606,0.0336138,11,-2575.84,-300.8,93.15,0.28454155,0.36455202,0.7545344,-1626.46,-207.57,0.0,38.03,-514.29,-306.67
0C52006011F129FCBC11E1A4AF19E2AD,11.153606,0.0336138,19,-806.99,128.35,16.94,-0.0048526195,0.00024546325,0.99409246,-768.4,163.33,2.12,-0.96,0.52,-79.91
0C52006011F129FCBC11E1A4AF19E2AD,11.187222,0.0336136,6,-1413.85,-32.46,16.99,-0.0048418297,-5.125057e-05,0.99997526,-1445.72,-13.98,0.29,-0.06,0.14,0.34
